Date,regime,holding,strategy_return,qqq_return,tqqq_return,year_month
2013-04-24,QQQ,QQQ,-0.00043194472805128167,-0.00043194472805128167,-0.002428472334341313,2013-04
2013-04-25,Calm,TQQQ,-4.606046358384497,0.005315740677793526,0.01608591881776028,2013-04
2013-04-26,TQQQ,QQQ,4.608204645333726,-0.0031574537285645465,-0.00849321112196609,2013-04
2013-04-29,Calm,TQQQ,-4.590492405333505,0.00915716066498257,0.02620545112218723,2013-04
2013-04-30,TQQQ,QQQ,4.606887190325045,0.007237624326557737,0.021710635898358283,2013-04
2013-05-01,QQQ,QQQ,-0.004676697502574134,-0.004676697502574134,-0.012813811066313617,2013-05
2013-05-02,Calm,TQQQ,-4.5577507858183255,0.012564529094095387,0.0355628821721013,2013-05
2013-05-03,TQQQ,QQQ,4.582030675896551,0.011715360984130245,0.03434026169148887,2013-05
2013-05-06,Calm,TQQQ,-4.534878009465175,0.0038747785920959497,0.012812404739886393,2013-05
2013-05-07,TQQQ,QQQ,4.538200451262615,-0.0005523367946567962,-0.0024349315477384995,2013-05
2013-05-08,QQQ,QQQ,0.004825491914770822,0.004825491914770822,0.015509973556486712,2013-05
2013-05-09,Calm,TQQQ,-4.5334879875594245,-0.0013763375562414288,-0.003537086390786694,2013-05
2013-05-10,TQQQ,QQQ,4.5381528590966385,0.00604120909345618,0.01685922037966294,2013-05
2013-05-13,Calm,TQQQ,-4.517400107245042,0.0012314715237460893,0.0038935314719343718,2013-05
2013-05-14,TQQQ,QQQ,4.523813240124252,0.0051816613554638725,0.014603343402253593,2013-05
2013-05-15,QQQ,QQQ,0.0020380485676480286,0.0020380485676480286,0.007357921782437599,2013-05
2013-05-16,Calm,TQQQ,-4.507562828828309,-0.001086726581006023,-0.003672805321100979,2013-05
2013-05-17,TQQQ,QQQ,4.5160784529396345,0.009602350692331502,0.027815804968592022,2013-05
2013-05-20,Calm,TQQQ,-4.4927794272806585,-0.0014816283851267736,-0.004516779309615739,2013-05
2013-05-21,TQQQ,QQQ,4.492375512567614,0.0010777136720825115,0.0037212143042278174,2013-05
2013-05-22,QQQ,QQQ,-0.008790559110966073,-0.008790559110966073,-0.024706431838289026,2013-05
2013-05-23,Calm,TQQQ,-4.515504874003879,-0.002311426716974924,-0.010934703013169495,2013-05
2013-05-24,TQQQ,QQQ,4.512648777667065,-0.0005446696198388396,-0.000550182794309576,2013-05
2013-05-28,Calm,TQQQ,-4.492781700991395,0.006517110803326507,0.02041725946998072,2013-05
2013-05-29,TQQQ,QQQ,4.494550908977641,-0.004747902817079371,-0.015205775374421216,2013-05
2013-05-30,QQQ,QQQ,0.0052890352634972215,0.0052890352634972215,0.016148165379386594,2013-05
2013-05-31,Calm,TQQQ,-4.527849030430379,-0.009240703680064391,-0.028951476194205673,2013-05
2013-06-03,Calm,TQQQ,0.005802731971734976,0.0017731855771346721,0.005802731971734976,2013-06
2013-06-04,TQQQ,QQQ,4.509387322907439,-0.005191457448275068,-0.015129648226300365,2013-06
2013-06-05,QQQ,QQQ,-0.013099382896598113,-0.013099382896598113,-0.03907558887782852,2013-06
2013-06-06,Calm,TQQQ,-4.538350685210924,0.00484585314337015,0.01214249190404587,2013-06
2013-06-07,TQQQ,QQQ,4.556778123195413,0.013581584841118639,0.04096057084620468,2013-06
2013-06-10,Calm,TQQQ,-4.515404744503415,0.00040887243339730346,0.000412807845793895,2013-06
2013-06-11,TQQQ,QQQ,4.505820778762789,-0.009992838174022089,-0.02937689978574494,2013-06
2013-06-12,QQQ,QQQ,-0.011622959120735459,-0.011622959120735459,-0.035253836916668495,2013-06
2013-06-13,Calm,TQQQ,-4.523574719427799,0.012585954205260376,0.03525383691666843,2013-06
2013-06-14,TQQQ,QQQ,4.529541429003844,-0.006619244629215001,-0.017760521713189734,2013-06
2013-06-17,Calm,TQQQ,-4.5199344858534864,0.009638183709353121,0.02736746486354726,2013-06
2013-06-18,TQQQ,QQQ,4.537760639213824,0.008187969650983761,0.02334749414577401,2013-06
2013-06-19,QQQ,QQQ,-0.011206908731121951,-0.011206908731121951,-0.03196133115106267,2013-06
2013-06-20,Calm,TQQQ,-4.611775860582601,-0.024064319039155273,-0.07660829309461141,2013-06
2013-06-21,TQQQ,QQQ,4.582386999255276,-0.005324542288170433,-0.014188020019272834,2013-06
2013-06-24,Turbulent,QQQ,-0.009988759809094201,-0.009988759809094201,-0.03139250104597003,2013-06
2013-06-25,QQQ,QQQ,0.0072877761335436745,0.0072877761335436745,0.021089803320926047,2013-06
2013-06-26,QQQ,QQQ,0.008928888578786725,0.008928888578786725,0.026936620243428258,2013-06
2013-06-27,Turbulent,QQQ,0.004223901786792744,0.004223901786792744,0.01108813880664986,2013-06
2013-06-28,QQQ,QQQ,0.0014041304198812588,0.0014041304198812588,0.002715142731387526,2013-06
