date,fold,regime,holding,strategy_return,transaction_cost,qqq_return,tqqq_return,circuit_breaker,strategy_daily_ret,qqq_daily_ret,tqqq_daily_ret,strategy_cumret,qqq_cumret,tqqq_cumret,year,month
2016-07-08,55,Turbulent,QQQ,0.015466604708049836,0.0,0.015466604708049836,0.04621621921905672,False,0.015466604708049836,0.015466604708049836,0.04621621921905672,3.8517327422018734,1.2538301725519978,6.897650577740696,2016,7
2016-07-11,55,Turbulent,QQQ,0.005711655595771692,0.0,0.005711655595771692,0.017071525690630196,False,0.005711655595771692,0.005711655595771692,0.017071525690630196,3.8794441686680594,1.2667032742689734,7.032475522474217,2016,7
2016-07-12,55,Turbulent,QQQ,0.0050483976432145194,0.0,0.0050483976432145194,0.01574208333371163,False,0.0050483976432145194,0.0050483976432145194,0.01574208333371163,3.90407754310936,1.2781464937366596,7.158923421525005,2016,7
2016-07-13,55,Turbulent,QQQ,-0.0024216098612758197,0.0,-0.0024216098612758197,-0.007002217719047854,False,-0.0024216098612758197,-0.0024216098612758197,-0.007002217719047854,3.892201780570505,1.2726297117219958,7.101792863374447,2016,7
2016-07-14,55,Turbulent,QQQ,0.006833326069863421,0.0,0.006833326069863421,0.020308497695753047,False,0.006833326069863421,0.006833326069863421,0.020308497695753047,3.92563179053671,1.2881593315782518,7.266328105071755,2016,7
2016-07-15,55,Turbulent,QQQ,-0.001607366284330003,0.0,-0.001607366284330003,-0.005620922341655454,False,-0.001607366284330003,-0.001607366284330003,-0.005620922341655454,3.9177144960675774,1.284481421415498,7.219863716742504,2016,7
2016-07-18,55,Turbulent,QQQ,0.0066187729315532184,0.0,0.0066187729315532184,0.019924066578214772,False,0.0066187729315532184,0.0066187729315532184,0.019924066578214772,3.9502637316592564,1.2996018852101994,7.383636828698734,2016,7
2016-07-19,55,Turbulent,QQQ,-0.0036433311159095316,0.0,-0.0036433311159095316,-0.01035815763633574,False,-0.0036433311159095316,-0.0036433311159095316,-0.01035815763633574,3.932228281773744,1.2912236741076089,7.2967977968612825,2016,7
2016-07-20,55,Turbulent,QQQ,0.011683026871012636,0.0,0.011683026871012636,0.034245125851364966,False,0.011683026871012636,0.011683026871012636,0.034245125851364966,3.9898516373236754,1.3179921018597085,7.580922681578125,2016,7
2016-07-21,55,Turbulent,QQQ,-0.002292157394855665,0.0,-0.002292157394855665,-0.005947535643036517,False,-0.002292157394855665,-0.002292157394855665,-0.005947535643036517,3.978414111993951,1.3126788991222136,7.529887338079298,2016,7
2016-07-22,55,Turbulent,QQQ,0.004152694194865303,0.0,0.004152694194865303,0.011609275792548113,False,0.004152694194865303,0.004152694194865303,0.011609275792548113,3.9990879433764634,1.3222827473611858,7.628913152666424,2016,7
2016-07-25,55,Turbulent,QQQ,8.795014868012707e-05,0.0,8.795014868012707e-05,0.0008825940701173707,False,8.795014868012707e-05,8.795014868012707e-05,0.0008825940701173707,3.9995276139043483,1.3224869924740936,7.636528980246526,2016,7
2016-07-26,55,Turbulent,QQQ,0.0011438964380956484,0.0,0.0011438964380956484,0.003351723319689137,False,0.0011438964380956484,0.0011438964380956484,0.003351723319689137,4.005246555734054,1.3251436770723082,7.6654762358307895,2016,7
2016-07-27,55,Turbulent,QQQ,0.0069427342193795205,0.0,0.0069427342193795205,0.0195147235983133,False,0.0069427342193795205,0.0069427342193795205,0.0195147235983133,4.03999665227298,1.341286531644092,7.8345806094207795,2016,7
2016-07-28,55,Turbulent,QQQ,0.0034908728959670565,0.0,0.0034908728959670565,0.0108641298077925,False,0.0034908728959670565,0.0034908728959670565,0.0108641298077925,4.057590639982164,1.349459665339101,7.930560639958934,2016,7
2016-07-29,55,Turbulent,QQQ,0.0021745245087445575,0.0,0.0021745245087445575,0.006567672145171066,False,0.0021745245087445575,0.0021745245087445575,0.006567672145171066,4.068588494784002,1.3545686229636877,7.989213634314753,2016,7
2016-08-01,55,Turbulent,QQQ,0.00529344486923411,0.0,0.00529344486923411,0.0156763808093765,False,0.00529344486923411,0.00529344486923411,0.0156763808093765,4.095418788545976,1.3670324021601745,8.130131970423111,2016,8
2016-08-02,55,Turbulent,QQQ,-0.007596527631172023,0.0,-0.007596527631172023,-0.02252633029391682,False,-0.007596527631172023,-0.007596527631172023,-0.02252633029391682,4.056711298926393,1.3490511751132854,7.924463602030311,2016,8
2016-08-03,55,Turbulent,QQQ,0.0033056507786055622,0.0,0.0033056507786055622,0.009474254855494246,False,0.0033056507786055622,0.0033056507786055622,0.009474254855494246,4.0734270205688725,1.3568163179592831,8.009016244644528,2016,8
2016-08-04,55,Turbulent,QQQ,0.002861099074799034,0.0,0.002861099074799034,0.008962961276433257,False,0.002861099074799034,0.002861099074799034,0.008962961276433257,4.087942597923482,1.3635594029460676,8.089763708384035,2016,8
